,local_timestamp,side,price,amount
40392,1722472671658883,sell,0.0110815,20643
40393,1722472671658884,sell,0.0110815,17038
40394,1722472671658885,sell,0.0110815,38809
40395,1722472671658885,sell,0.0110815,147654
40396,1722472671658890,sell,0.0110815,60168
40397,1722472671658891,sell,0.0110815,14680
40398,1722472671658895,sell,0.0110815,27080
40399,1722472671658917,buy,0.0110816,994
40400,1722472671658920,buy,0.0110822,453
40401,1722472671658923,buy,0.0110833,15247
40402,1722472671658926,buy,0.0110834,18045
40403,1722472671658929,buy,0.0110834,36193
40404,1722472671660467,buy,0.0110835,79261
40405,1722472671660468,buy,0.0110836,70259
40406,1722472671660471,buy,0.0110837,25214
40407,1722472671660473,buy,0.0110837,85886
40408,1722472671660478,buy,0.0110837,45112
40409,1722472671660480,buy,0.0110838,22063
40410,1722472671660482,buy,0.0110838,16405
40411,1722472671660484,buy,0.0110838,79261
40412,1722472671660488,buy,0.0110838,8596
40413,1722472671660496,buy,0.0110838,294465
40414,1722472671660498,buy,0.0110838,398727
40415,1722472671660499,buy,0.0110838,398727
40416,1722472671660499,buy,0.0110838,81202
40417,1722472671660500,buy,0.0110839,43830
40418,1722472671660504,buy,0.0110839,453
40419,1722472671660505,buy,0.0110841,8596
40420,1722472671660508,buy,0.0110841,180481
40421,1722472671660524,buy,0.0110841,84165
40422,1722472671660524,buy,0.0110841,96316
40423,1722472671660525,buy,0.0110842,36194
40424,1722472671660525,buy,0.0110845,904
40425,1722472671660537,buy,0.0110829,60168
40426,1722472671663409,buy,0.0110829,87486
40427,1722472671663410,buy,0.0110832,3861
40428,1722472671663411,buy,0.0110832,24723
40429,1722472671663414,buy,0.0110834,34999
40430,1722472671663417,buy,0.0110834,9280
40431,1722472671663422,buy,0.0110834,16620
40432,1722472671663422,buy,0.0110835,38809
40433,1722472671663425,buy,0.0110836,18045
40434,1722472671663430,buy,0.0110838,1120226
40435,1722472671663430,buy,0.0110834,28584
40436,1722472671663435,buy,0.0110837,45111
40437,1722472671663436,buy,0.0110837,22556
40438,1722472671663440,buy,0.0110838,233375
40439,1722472671663443,buy,0.0110838,26906
40440,1722472671663445,buy,0.011084,172338
40441,1722472671663448,buy,0.0110845,8165
40442,1722472671663450,buy,0.0110845,310383
40443,1722472671663463,buy,0.0110845,276994
40444,1722472671663464,buy,0.0110848,712
40445,1722472671663464,buy,0.0110848,8596
40446,1722472671663467,buy,0.0110851,6290
40447,1722472671666945,buy,0.0110852,57446
40448,1722472671712799,buy,0.0110852,27000
40449,1722472671729542,buy,0.0110852,52261
40450,1722472672803700,sell,0.0110845,20532
40451,1722472672803716,sell,0.0110842,263269
40452,1722472672803717,sell,0.0110834,57415
